trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
39036,9249.33,1.9e-05,0.027514,45,0.006681
22287,4503.58,4e-05,0.013397,45,0.00429
87854,9242.3,1.9e-05,0.027493,42,0.03154
98106,52.83,0.003407,0.000157,7,0.16504
24588,1363.54,0.000132,0.004056,44,0.003963
20845,1363.54,0.000132,0.004056,44,0.003963
33991,1363.54,0.000132,0.004056,44,0.003963
108691,2591.72,6.9e-05,0.00771,34,0.061847
101250,1836.6,9.8e-05,0.005463,45,0.00693
43608,1836.6,9.8e-05,0.005463,45,0.00693
68366,3636.75,4.9e-05,0.010818,41,0.071278
41287,1178.62,0.000153,0.003506,41,0.076543
19997,870.05,0.000207,0.002588,28,0.145934
66278,1579.11,0.000114,0.004697,45,0.006045
58452,1836.6,9.8e-05,0.005463,45,0.00693
10730,10678.08,1.7e-05,0.031765,43,0.00664
112302,1238.25,0.000145,0.003683,45,0.016745
4951,16163.5,1.1e-05,0.048082,42,0.013194
115609,4503.58,4e-05,0.013397,45,0.00429
28991,1651.48,0.000109,0.004913,45,0.01258
52695,84.29,0.002135,0.000251,18,0.140492
19689,22235.86,8e-06,0.066146,44,0.038118
76216,1204.01,0.00015,0.003582,45,0.010253
108182,4503.58,4e-05,0.013397,45,0.00429
101143,1836.6,9.8e-05,0.005463,45,0.00693
113128,6658.69,2.7e-05,0.019808,44,0.009234
87798,1667.68,0.000108,0.004961,42,0.005249
14105,325.5,0.000553,0.000968,45,0.070947
27185,4503.58,4e-05,0.013397,45,0.00429
107354,1836.6,9.8e-05,0.005463,45,0.00693
70163,4503.58,4e-05,0.013397,45,0.00429
110599,3488.1,5.2e-05,0.010376,38,0.107874
24422,6658.69,2.7e-05,0.019808,44,0.009234
87810,1667.68,0.000108,0.004961,42,0.005249
55936,1836.6,9.8e-05,0.005463,45,0.00693
40971,5808.38,3.1e-05,0.017278,44,0.022508
91503,781.76,0.00023,0.002326,45,0.007115
53014,9249.33,1.9e-05,0.027514,45,0.006681
81700,1667.68,0.000108,0.004961,42,0.005249
33011,298.69,0.000603,0.000889,6,0.05207
61515,3518.97,5.1e-05,0.010468,44,0.022309
39474,2222.88,8.1e-05,0.006613,44,0.029515
86166,10678.08,1.7e-05,0.031765,43,0.00664
91199,1767.99,0.000102,0.005259,45,0.044728
24238,1137.56,0.000158,0.003384,43,0.048574
80313,934.33,0.000193,0.002779,40,0.175579
8854,9249.33,1.9e-05,0.027514,45,0.006681
63285,927.62,0.000194,0.002759,43,0.074552
64715,108.76,0.001655,0.000324,42,0.036876
110429,5808.38,3.1e-05,0.017278,44,0.022508
65400,10678.08,1.7e-05,0.031765,43,0.00664
38199,1836.6,9.8e-05,0.005463,45,0.00693
41088,1138.49,0.000158,0.003387,45,0.006017
115493,3.61,0.049861,1.1e-05,9,0.103982
4026,9249.33,1.9e-05,0.027514,45,0.006681
94335,193.54,0.00093,0.000576,20,0.099479
56483,1651.48,0.000109,0.004913,45,0.01258
73294,84497.04,2e-06,0.251357,35,0.055018
67200,9249.33,1.9e-05,0.027514,45,0.006681
35111,1836.6,9.8e-05,0.005463,45,0.00693
60843,2295.61,7.8e-05,0.006829,37,0.144119
91178,1767.99,0.000102,0.005259,45,0.044728
112768,2807.66,6.4e-05,0.008352,42,0.039009
75058,195.65,0.00092,0.000582,23,0.062255
105888,927.62,0.000194,0.002759,43,0.074552
119370,325.5,0.000553,0.000968,45,0.070947
36568,24340.51,7e-06,0.072407,42,0.004677
14929,934.33,0.000193,0.002779,40,0.175579
89846,1138.49,0.000158,0.003387,45,0.006017
60986,1138.49,0.000158,0.003387,45,0.006017
80733,1767.99,0.000102,0.005259,45,0.044728
118051,859.75,0.000209,0.002558,41,0.09672
25498,3399.5,5.3e-05,0.010113,44,0.011416
61744,834.99,0.000216,0.002484,42,0.102144
61249,1178.62,0.000153,0.003506,41,0.076543
67780,781.76,0.00023,0.002326,45,0.007115
12554,9249.33,1.9e-05,0.027514,45,0.006681
56109,502.28,0.000358,0.001494,44,0.06417
69808,1204.01,0.00015,0.003582,45,0.010253
87355,6658.69,2.7e-05,0.019808,44,0.009234
70967,2807.66,6.4e-05,0.008352,42,0.039009
113738,9242.3,1.9e-05,0.027493,42,0.03154
27169,4503.58,4e-05,0.013397,45,0.00429
81418,6658.69,2.7e-05,0.019808,44,0.009234
2633,781.76,0.00023,0.002326,45,0.007115
20080,1767.99,0.000102,0.005259,45,0.044728
52416,9897.74,1.8e-05,0.029443,43,0.039485
92822,3495.24,5.1e-05,0.010397,15,0.047651
11651,3495.24,5.1e-05,0.010397,15,0.047651
82218,1579.11,0.000114,0.004697,45,0.006045
81883,927.62,0.000194,0.002759,43,0.074552
108928,259.87,0.000693,0.000773,25,0.101857
41505,325.5,0.000553,0.000968,45,0.070947
41503,325.5,0.000553,0.000968,45,0.070947
100900,73.38,0.002453,0.000218,45,0.005656
99999,1883.34,9.6e-05,0.005602,23,0.264229
104402,1137.56,0.000158,0.003384,43,0.048574
8478,2759.01,6.5e-05,0.008207,43,0.218003
102124,502.28,0.000358,0.001494,44,0.06417
76283,588.65,0.000306,0.001751,31,0.023697
56122,502.28,0.000358,0.001494,44,0.06417
1286,4710.18,3.8e-05,0.014012,37,0.057681
101929,326.38,0.000552,0.000971,33,0.10799
28009,6658.69,2.7e-05,0.019808,44,0.009234
24199,1137.56,0.000158,0.003384,43,0.048574
4012,9249.33,1.9e-05,0.027514,45,0.006681
117498,1137.56,0.000158,0.003384,43,0.048574
