trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
8279,BE,IT,COPP1,COPP1,123.45,0,0
155922,WE,IT,WOODW,CONST,123.39,0,0
102525,NL,IT,FABRI,CONST,123.17,0,0
112974,PL,IT,PLAST,RUBBE,123.17,0,0
106491,NL,IT,TEXTI,WEARI,122.41,0,0
49505,ES,IT,GASDI,WHOLE,122.31,0,0
61115,FR,IT,PAPER,PAPER,121.58,0,0
121902,RU,IT,BITUM,ELEC1,121.39,0,0
77959,HU,IT,TEXTI,WEARI,121.34,0,0
37111,DE,IT,COMPU,COMPU,120.73,0,0
40419,DE,IT,MOTO1,CONST,120.65,0,0
59931,FR,IT,LANDT,WHOLE,120.56,0,0
51558,ES,IT,PRIVA,REALE,120.5,0,0
155689,WE,IT,TEXTI,TEXTI,120.02,0,0
59481,FR,IT,HOTEL,LANDT,120.0,0,0
58423,FR,IT,FABRI,CONST,119.95,0,0
32357,CZ,IT,BASIC,BASIC,119.5,0,0
49177,ES,IT,FOOD5,FOOD5,118.72,0,0
95672,LU,IT,FINAN,HOTEL,118.61,0,0
23687,CH,IT,INSUR,FINAN,118.27,0,0
22847,CH,IT,FABRI,MACHI,118.2,0,0
124770,SE,IT,BASIC,FABRI,118.05,0,0
141314,US,IT,BUSIN,HEALT,117.96,0,0
23893,CH,IT,LANDT,RETA1,117.77,0,0
144019,US,IT,PLAST,PLAST,117.61,0,0
92920,KR,IT,PLAST,PLAST,117.6,0,0
39860,DE,IT,LANDT,WHOLE,117.19,0,0
76573,HU,IT,LANDT,WHOLE,117.16,0,0
67460,GB,IT,RUBBE,RUBBE,116.79,0,0
158362,WF,IT,LEATH,LEATH,116.74,0,0
141265,US,IT,BUSIN,AUXIL,116.73,0,0
109904,PL,IT,BASIC,FABRI,116.7,0,0
156280,WF,IT,BASIC,BASIC,116.46,0,0
102543,NL,IT,FABRI,FABRI,116.37,0,0
56527,FR,IT,BASIC,MOTO1,116.2,0,0
11926,BE,IT,RUBBE,RUBBE,115.84,0,0
85332,IN,IT,FISH5,HOTEL,115.64,0,0
53293,FI,IT,BASIC,BASIC,115.56,0,0
6026,AU,IT,HOTEL,REALE,115.22,0,0
161545,WL,IT,COPP1,CONST,115.06,0,0
165883,WM,IT,CRUDE,NAPHT,115.04,0,0
57399,FR,IT,COPP1,CONST,114.78,0,0
91034,KR,IT,BASIC,CONST,114.77,0,0
75611,HU,IT,CEREA,WHOLE,114.44,0,0
